# Selection   : all 
# Volume      : 7.500000e-05
# Time        	max(cloud:alpha)
0.910525      	8.398142e-01
0.912241      	8.598098e-01
0.914228      	8.598098e-01
0.915784      	8.798054e-01
0.917585      	8.798054e-01
0.919491      	8.798054e-01
0.921017      	8.798054e-01
0.922224      	8.798054e-01
0.923253      	8.798054e-01
0.924368      	8.798054e-01
0.925283      	8.798054e-01
0.92601       	8.798054e-01
0.926737      	8.798054e-01
0.927599      	8.798054e-01
0.92846       	8.798054e-01
0.929486      	8.798054e-01
0.930512      	8.798054e-01
0.931291      	8.798054e-01
0.93204       	8.798054e-01
0.932659      	8.798054e-01
0.933218      	8.798054e-01
0.933889      	8.798054e-01
0.934695      	8.798054e-01
0.935391      	8.798054e-01
0.935999      	8.798054e-01
0.936699      	8.798054e-01
0.937531      	8.798054e-01
0.93849       	8.998009e-01
0.939641      	8.798054e-01
0.940936      	8.798054e-01
0.942447      	8.798054e-01
0.943957      	8.798054e-01
0.945468      	8.798054e-01
0.946601      	8.798054e-01
0.947451      	8.798054e-01
0.9483        	8.798054e-01
0.94915       	8.798054e-01
0.95          	8.798054e-01
0.951         	8.798054e-01
0.952195      	8.798054e-01
0.953601      	8.798054e-01
0.955258      	8.798054e-01
0.956915      	8.798054e-01
0.958262      	8.798054e-01
0.959332      	8.798054e-01
0.960603      	8.798054e-01
0.962118      	8.798054e-01
0.963266      	8.798054e-01
0.964627      	8.798054e-01
0.966234      	8.798054e-01
0.96811       	8.798054e-01
0.969882      	8.798054e-01
0.970854      	8.998009e-01
0.971975      	8.998009e-01
0.972799      	8.998009e-01
0.97377       	8.998009e-01
0.974542      	8.998009e-01
0.975451      	8.998009e-01
0.976518      	8.998009e-01
0.977754      	8.998009e-01
0.978449      	8.998009e-01
0.979278      	8.998009e-01
0.980265      	8.998009e-01
0.981252      	8.998009e-01
0.982424      	8.998009e-01
0.983302      	8.998009e-01
0.984346      	8.998009e-01
0.985129      	8.998009e-01
0.986058      	8.998009e-01
0.986929      	8.998009e-01
0.987935      	8.998009e-01
0.98894       	8.998009e-01
0.989862      	8.998009e-01
0.990369      	8.998009e-01
0.990971      	8.998009e-01
0.991665      	8.998009e-01
0.992499      	8.998009e-01
0.993332      	8.998009e-01
